"user_name","user_id","product_id","rating"
"Arjun Sharma","1","25","4"
"Arjun Sharma","1","24","5"
"Arjun Sharma","1","11","4"
"Arjun Sharma","1","14","3"
"Arjun Sharma","1","4","5"
"Arjun Sharma","1","33","5"
"Arjun Sharma","1","20","4"
"Arjun Sharma","1","38","4"
"Arjun Sharma","1","39","5"
"Arjun Sharma","1","37","3"
"Arjun Sharma","1","10","5"
"Arjun Sharma","1","49","5"
"Arjun Sharma","1","248","2"
"Arjun Sharma","1","222","1"
"Arjun Sharma","1","259","1"
"Ananya Patel","2","62","4"
"Ananya Patel","2","74","5"
"Ananya Patel","2","68","5"
"Ananya Patel","2","80","5"
"Ananya Patel","2","75","5"
"Ananya Patel","2","79","5"
"Ananya Patel","2","77","5"
"Ananya Patel","2","85","5"
"Ananya Patel","2","92","5"
"Ananya Patel","2","251","1"
"Ananya Patel","2","189","3"
"Rohan Kumar","3","278","5"
"Rohan Kumar","3","266","3"
"Rohan Kumar","3","259","5"
"Rohan Kumar","3","280","5"
"Rohan Kumar","3","277","5"
"Rohan Kumar","3","262","4"
"Rohan Kumar","3","276","5"
"Rohan Kumar","3","255","3"
"Rohan Kumar","3","261","5"
"Rohan Kumar","3","297","3"
"Rohan Kumar","3","263","4"
"Rohan Kumar","3","281","5"
"Rohan Kumar","3","300","3"
"Rohan Kumar","3","260","4"
"Rohan Kumar","3","274","5"
"Rohan Kumar","3","298","5"
"Rohan Kumar","3","272","5"
"Rohan Kumar","3","253","5"
"Rohan Kumar","3","270","5"
"Rohan Kumar","3","256","4"
"Rohan Kumar","3","15","2"
"Rohan Kumar","3","96","2"
"Rohan Kumar","3","70","3"
"Rohan Kumar","3","82","2"
"Rohan Kumar","3","64","3"
"Neha Singh","4","231","3"
"Neha Singh","4","237","3"
"Neha Singh","4","206","4"
"Neha Singh","4","214","5"
"Neha Singh","4","228","5"
"Neha Singh","4","212","5"
"Neha Singh","4","227","5"
"Neha Singh","4","207","5"
"Neha Singh","4","223","3"
"Neha Singh","4","210","5"
"Neha Singh","4","216","5"
"Neha Singh","4","238","5"
"Neha Singh","4","239","5"
"Neha Singh","4","230","5"
"Neha Singh","4","247","5"
"Neha Singh","4","208","5"
"Neha Singh","4","1","2"
"Neha Singh","4","132","3"
"Neha Singh","4","44","1"
"Neha Singh","4","259","2"
"Rajesh Gupta","5","49","4"
"Rajesh Gupta","5","10","5"
"Rajesh Gupta","5","47","4"
"Rajesh Gupta","5","41","5"
"Rajesh Gupta","5","16","4"
"Rajesh Gupta","5","21","4"
"Rajesh Gupta","5","5","3"
"Rajesh Gupta","5","25","5"
"Rajesh Gupta","5","144","2"
"Rajesh Gupta","5","135","3"
"Anjali Verma","6","95","5"
"Anjali Verma","6","53","4"
"Anjali Verma","6","63","4"
"Anjali Verma","6","89","5"
"Anjali Verma","6","73","4"
"Anjali Verma","6","85","4"
"Anjali Verma","6","75","5"
"Anjali Verma","6","66","4"
"Anjali Verma","6","74","5"
"Anjali Verma","6","54","5"
"Anjali Verma","6","83","4"
"Anjali Verma","6","80","3"
"Anjali Verma","6","72","4"
"Anjali Verma","6","86","5"
"Anjali Verma","6","58","5"
"Anjali Verma","6","96","5"
"Anjali Verma","6","57","3"
"Anjali Verma","6","90","5"
"Anjali Verma","6","61","5"
"Anjali Verma","6","164","2"
"Anjali Verma","6","264","1"
"Anjali Verma","6","196","2"
"Anjali Verma","6","188","4"
"Sanjay Reddy","7","209","4"
"Sanjay Reddy","7","236","4"
"Sanjay Reddy","7","248","5"
"Sanjay Reddy","7","250","5"
"Sanjay Reddy","7","214","4"
"Sanjay Reddy","7","210","5"
"Sanjay Reddy","7","241","5"
"Sanjay Reddy","7","215","4"
"Sanjay Reddy","7","211","5"
"Sanjay Reddy","7","202","5"
"Sanjay Reddy","7","204","5"
"Sanjay Reddy","7","157","4"
"Sanjay Reddy","7","172","2"
"Shreya Rao","8","157","5"
"Shreya Rao","8","76","5"
"Shreya Rao","8","192","5"
"Shreya Rao","8","163","4"
